2023-12-19 18:12:562 INFO  LoginPage :43 - Enter User Name: Admin
2023-12-19 18:12:919 INFO  LoginPage :53 - Enter Password: admin123
2023-12-19 18:12:54 INFO  LoginPage :48 - Clicking on Login Button: [[ChromeDriver: chrome on windows (e29c9e2468f2f0c153ac65f46a193fc1)] -> xpath: //button[@type='submit']]
2023-12-19 18:12:60 INFO  DashboardPage :32 - Verifying Orange HRM Logo: [[ChromeDriver: chrome on windows (e29c9e2468f2f0c153ac65f46a193fc1)] -> xpath: //img[@alt='client brand banner']]
2023-12-19 18:12:442 INFO  LoginPage :43 - Enter User Name: Admin
2023-12-19 18:12:883 INFO  LoginPage :53 - Enter Password: admin123
2023-12-19 18:12:32 INFO  LoginPage :48 - Clicking on Login Button: [[ChromeDriver: chrome on windows (9b4be5f9582bc9a9d6c26c0bf9dcb84e)] -> xpath: //button[@type='submit']]
2023-12-19 18:12:183 INFO  ViewSystemUsersPage :66 - Clicking on Admin: [[ChromeDriver: chrome on windows (9b4be5f9582bc9a9d6c26c0bf9dcb84e)] -> xpath: //a[@href='/web/index.php/admin/viewAdminModule']]
2023-12-19 18:12:527 INFO  ViewSystemUsersPage :71 - Verifying System User Text: [[ChromeDriver: chrome on windows (9b4be5f9582bc9a9d6c26c0bf9dcb84e)] -> xpath: //h5[@class='oxd-text oxd-text--h5 oxd-table-filter-title']]
2023-12-19 18:12:584 INFO  LoginPage :43 - Enter User Name: Admin
2023-12-19 18:12:899 INFO  LoginPage :53 - Enter Password: admin123
2023-12-19 18:12:41 INFO  LoginPage :48 - Clicking on Login Button: [[ChromeDriver: chrome on windows (2aedf5266807e9a17751291981f2868d)] -> xpath: //button[@type='submit']]
2023-12-19 18:12:87 INFO  LoginPage :64 - Verifying Login: [[ChromeDriver: chrome on windows (2aedf5266807e9a17751291981f2868d)] -> xpath: //h6[normalize-space()='Dashboard']]
2023-12-19 18:12:653 INFO  LoginPage :43 - Enter User Name: Admin
2023-12-19 18:12:961 INFO  LoginPage :53 - Enter Password: admin123
2023-12-19 18:12:111 INFO  LoginPage :48 - Clicking on Login Button: [[ChromeDriver: chrome on windows (c2fbaf78bfebb088bb6165c614730dc6)] -> xpath: //button[@type='submit']]
2023-12-19 18:12:370 INFO  ViewSystemUsersPage :66 - Clicking on Admin: [[ChromeDriver: chrome on windows (c2fbaf78bfebb088bb6165c614730dc6)] -> xpath: //a[@href='/web/index.php/admin/viewAdminModule']]
2023-12-19 18:12:472 INFO  ViewSystemUsersPage :71 - Verifying System User Text: [[ChromeDriver: chrome on windows (c2fbaf78bfebb088bb6165c614730dc6)] -> xpath: //h5[@class='oxd-text oxd-text--h5 oxd-table-filter-title']]
2023-12-19 18:12:523 INFO  ViewSystemUsersPage :76 - Clicking on Add button: [[ChromeDriver: chrome on windows (c2fbaf78bfebb088bb6165c614730dc6)] -> xpath: //button[@class='oxd-button oxd-button--medium oxd-button--secondary']]
2023-12-19 18:12:74 INFO  ViewSystemUsersPage :81 - Verifying User added text: Add User
2023-12-19 19:12:645 INFO  ViewSystemUsersPage :86 - Selecting Admin from Admin dropdown: Proxy element for: DefaultElementLocator 'By.xpath: //*[@class='oxd-select-wrapper']//*[contains(text(),'Admin')]'
2023-12-19 19:12:347 INFO  ViewSystemUsersPage :94 - Entering Employee name: Proxy element for: DefaultElementLocator 'By.xpath: //*[@class='oxd-autocomplete-wrapper']//*[contains(text(),'Goutam  Ganesh')]'
2023-12-19 19:12:122 INFO  ViewSystemUsersPage :101 - Entering User: [[ChromeDriver: chrome on windows (c2fbaf78bfebb088bb6165c614730dc6)] -> xpath: //div[@class='oxd-form-row']/div[1]/div[4]/div[1]/div[2]/input[1]]
2023-12-19 19:12:794 INFO  ViewSystemUsersPage :106 - Selecting Status Disable: Proxy element for: DefaultElementLocator 'By.xpath: //*[@class='oxd-select-wrapper']//*[contains(text(),'Disabled')]'
2023-12-19 19:12:948 INFO  ViewSystemUsersPage :122 - Entering Password: [[ChromeDriver: chrome on windows (c2fbaf78bfebb088bb6165c614730dc6)] -> xpath: //div[@class='orangehrm-card-container']/form[1]/div[2]/div[1]/div[1]/div[1]/div[2]/input[1]]
2023-12-19 19:12:24 INFO  ViewSystemUsersPage :127 - Entering Confirm Password: [[ChromeDriver: chrome on windows (c2fbaf78bfebb088bb6165c614730dc6)] -> xpath: //div[@class='orangehrm-card-container']/form[1]/div[2]/div[1]/div[2]/div[1]/div[2]/input[1]]
2023-12-19 19:12:118 INFO  ViewSystemUsersPage :132 - Clicking on Save: [[ChromeDriver: chrome on windows (c2fbaf78bfebb088bb6165c614730dc6)] -> xpath: //button[@class='oxd-button oxd-button--medium oxd-button--secondary orangehrm-left-space']]
2023-12-19 19:12:582 INFO  LoginPage :43 - Enter User Name: Admin
2023-12-19 19:12:877 INFO  LoginPage :53 - Enter Password: admin123
2023-12-19 19:12:994 INFO  LoginPage :48 - Clicking on Login Button: [[ChromeDriver: chrome on windows (6f4512ca67ab458e0db031c91400397c)] -> xpath: //button[@type='submit']]
2023-12-19 19:12:970 INFO  LoginPage :64 - Verifying Login: [[ChromeDriver: chrome on windows (6f4512ca67ab458e0db031c91400397c)] -> xpath: //h6[normalize-space()='Dashboard']]
2023-12-19 19:12:667 INFO  LoginPage :43 - Enter User Name: Admin
2023-12-19 19:12:22 INFO  LoginPage :53 - Enter Password: admin123
2023-12-19 19:12:159 INFO  LoginPage :48 - Clicking on Login Button: [[ChromeDriver: chrome on windows (fa52ce300ede3e563cc6b9427f71b815)] -> xpath: //button[@type='submit']]
2023-12-19 19:12:274 INFO  DashboardPage :32 - Verifying Orange HRM Logo: [[ChromeDriver: chrome on windows (fa52ce300ede3e563cc6b9427f71b815)] -> xpath: //img[@alt='client brand banner']]
2023-12-19 19:12:878 INFO  LoginPage :43 - Enter User Name: Admin
2023-12-19 19:12:527 INFO  LoginPage :53 - Enter Password: admin123
2023-12-19 19:12:661 INFO  LoginPage :48 - Clicking on Login Button: [[ChromeDriver: chrome on windows (0cedfa315561bf8150cecde62bb3426e)] -> xpath: //button[@type='submit']]
2023-12-19 19:12:842 INFO  HomePage :44 - Clicking on user profile logo: [[ChromeDriver: chrome on windows (0cedfa315561bf8150cecde62bb3426e)] -> xpath: //p[@class='oxd-userdropdown-name']]
2023-12-19 19:12:409 INFO  HomePage :50 - Clicking on Log Out: [[ChromeDriver: chrome on windows (0cedfa315561bf8150cecde62bb3426e)] -> xpath: //a[normalize-space()='Logout']]
2023-12-19 19:12:684 INFO  LoginPage :37 - Verifying Login Text: [[ChromeDriver: chrome on windows (0cedfa315561bf8150cecde62bb3426e)] -> xpath: //h5[normalize-space()='Login']]
2023-12-19 19:12:274 INFO  LoginPage :43 - Enter User Name: Admin
2023-12-19 19:12:631 INFO  LoginPage :53 - Enter Password: admin123
2023-12-19 19:12:784 INFO  LoginPage :48 - Clicking on Login Button: [[ChromeDriver: chrome on windows (e51c1e0c9aba6d68c972fb8ea9848e8e)] -> xpath: //button[@type='submit']]
2023-12-19 19:12:772 INFO  ViewSystemUsersPage :66 - Clicking on Admin: [[ChromeDriver: chrome on windows (e51c1e0c9aba6d68c972fb8ea9848e8e)] -> xpath: //a[@href='/web/index.php/admin/viewAdminModule']]
